Date,Carsten,Yakunai,Nanu
05/065,27.2,27.2,33.9
06/065,27.2,27.2,35.3
07/065,29.0,29.0,35.1
08/065,26.8,26.8,35.7
09/065,29.1,29.1,36.1
10/065,26.5,26.5,35.5
11/065,24.0,24.0,34.3
12/065,24.1,24.1,33.0
13/065,20.0,20.0,30.7
14/065,19.4,19.4,28.6
15/065,18.7,18.7,27.4
16/065,17.8,17.8,25.9
17/065,17.5,17.5,25.4
18/065,17.2,17.2,24.9
19/065,17.6,17.6,22.5
20/065,12.0,12.0,21.3
21/065,12.3,12.3,19.7
22/065,13.9,13.9,20.7
23/065,9.3,9.3,21.8
24/065,11.2,11.2,19.5
25/065,15.1,15.1,19.8
26/065,17.1,17.1,21.3
27/065,19.0,19.0,22.2
28/065,21.3,21.3,21.7
01/066,22.5,22.5,21.4
02/066,24.5,24.5,23.4
03/066,26.0,26.0,24.4
04/066,25.6,25.6,29.5
05/066,26.9,26.9,31.1
06/066,27.3,27.3,30.9
07/066,32.1,32.1,31.0
08/066,30.9,30.9,30.4
09/066,31.2,31.2,31.1
10/066,28.7,28.7,31.2
11/066,23.6,23.6,30.4
12/066,22.7,22.7,30.7
13/066,21.2,21.2,27.7
14/066,18.3,18.3,28.5
15/066,18.7,18.7,26.9
16/066,18.2,18.2,24.5
17/066,19.3,19.3,24.0
18/066,17.3,17.3,23.9
19/066,16.5,16.5,24.7
20/066,12.9,12.9,24.0
21/066,8.3,8.3,22.1
22/066,5.9,5.9,22.1
23/066,4.8,4.8,21.9
24/066,7.0,7.0,23.1
25/066,9.6,9.6,24.8
26/066,11.7,11.7,28.6
27/066,15.7,15.7,28.0
28/066,18.3,18.3,28.8
01/067,17.2,17.2,29.8
02/067,16.9,16.9,28.1
03/067,16.9,16.9,27.7
04/067,20.3,20.3,29.5
05/067,24.3,24.3,30.2
06/067,27.1,27.1,30.2
07/067,28.3,28.3,30.8
08/067,25.4,25.4,31.3
09/067,25.8,25.8,30.8
10/067,24.7,24.7,30.4
11/067,23.3,23.3,28.1
12/067,18.7,18.7,26.1
13/067,18.0,18.0,26.5
14/067,19.0,19.0,24.6
15/067,18.9,18.9,23.0
16/067,17.4,17.4,20.4
17/067,16.2,16.2,19.5
18/067,12.9,12.9,18.1
19/067,10.7,10.7,16.7
20/067,8.7,8.7,16.2
21/067,7.5,7.5,15.3
22/067,9.5,9.5,16.1
23/067,6.6,6.6,17.4
24/067,5.6,5.6,16.9
25/067,8.9,8.9,17.5
26/067,11.1,11.1,18.6
27/067,11.5,11.5,18.4
28/067,14.0,14.0,22.0
01/068,17.3,17.3,21.7
02/068,19.2,19.2,25.4
03/068,20.4,20.4,27.2
04/068,23.3,23.3,27.9
05/068,23.4,23.4,29.0
06/068,26.5,26.5,29.2
07/068,25.9,25.9,30.6
08/068,26.2,26.2,31.1
09/068,25.3,25.3,30.0
10/068,22.5,22.5,31.5
11/068,22.2,22.2,29.8
12/068,19.8,19.8,28.8
13/068,17.9,17.9,27.1
14/068,16.6,16.6,25.8
15/068,14.9,14.9,24.6
16/068,13.8,13.8,24.1
17/068,12.5,12.5,21.6
18/068,8.5,8.5,21.1
19/068,8.0,8.0,18.9
20/068,8.1,8.1,18.5
21/068,5.5,5.5,17.6
22/068,5.7,5.7,17.3
23/068,5.9,5.9,17.6
24/068,11.0,11.0,17.4
25/068,10.9,10.9,17.2
26/068,12.9,12.9,19.5
27/068,15.2,15.2,19.1
28/068,13.4,13.4,20.3
01/069,14.7,14.7,20.4
02/069,18.4,18.4,21.7
03/069,21.9,21.9,24.5
04/069,25.8,25.8,26.1
05/069,23.0,23.0,25.3
06/069,25.1,25.1,25.3
07/069,29.2,29.2,26.0
08/069,30.4,30.4,27.7
09/069,25.7,25.7,27.5
10/069,25.7,25.7,26.3
11/069,23.5,23.5,24.2
12/069,22.2,22.2,24.1
13/069,20.5,20.5,23.7
14/069,18.3,18.3,23.5
15/069,18.6,18.6,23.4
16/069,18.5,18.5,24.4
17/069,12.0,12.0,22.8
18/069,8.9,8.9,22.6
19/069,8.0,8.0,21.2
20/069,6.3,6.3,20.3
21/069,6.3,6.3,20.3
22/069,3.8,3.8,21.1
23/069,5.4,5.4,23.2
24/069,10.5,10.5,23.0
25/069,11.0,11.0,24.5
26/069,14.1,14.1,26.1
27/069,14.7,14.7,26.4
28/069,13.6,13.6,27.6
01/070,15.2,15.2,29.8
02/070,18.9,18.9,29.6
03/070,23.1,23.1,30.6
04/070,24.0,24.0,30.7
05/070,26.7,26.7,32.1
06/070,29.3,29.3,32.5
07/070,28.0,28.0,32.7
08/070,30.7,30.7,33.0
09/070,30.1,30.1,32.2
10/070,28.0,28.0,30.2
11/070,26.5,26.5,28.1
12/070,24.4,24.4,27.0
13/070,21.8,21.8,26.1
14/070,23.7,23.7,24.0
15/070,21.9,21.9,22.5
16/070,18.4,18.4,22.9
17/070,20.3,20.3,21.5
18/070,18.1,18.1,21.0
19/070,15.4,15.4,20.1
20/070,13.9,13.9,18.4
21/070,11.7,11.7,16.4
22/070,11.3,11.3,16.7
23/070,9.3,9.3,17.3
24/070,9.1,9.1,19.5
25/070,9.4,9.4,20.2
26/070,11.0,11.0,20.6
27/070,14.8,14.8,21.4
28/070,15.9,15.9,21.5
01/071,16.9,16.9,24.5
02/071,17.9,17.9,25.4
03/071,20.9,20.9,27.5
04/071,23.9,23.9,28.4
05/071,26.9,26.9,30.2
06/071,29.2,29.2,32.8
07/071,30.2,30.2,31.6
08/071,26.4,26.4,32.9
09/071,25.6,25.6,32.5
10/071,25.1,25.1,31.3
11/071,21.3,21.3,31.0
12/071,17.5,17.5,28.8
13/071,17.3,17.3,27.8
14/071,19.2,19.2,27.2
15/071,20.2,20.2,26.8
16/071,16.8,16.8,26.9
17/071,15.8,15.8,26.3
18/071,15.3,15.3,25.7
19/071,12.8,12.8,24.2
20/071,12.6,12.6,22.5
21/071,14.5,14.5,21.6
22/071,10.8,10.8,23.5
23/071,12.9,12.9,22.5
24/071,12.0,12.0,21.0
25/071,12.1,12.1,21.9
26/071,13.7,13.7,22.9
27/071,17.3,17.3,20.8
28/071,21.4,21.4,21.2
01/072,21.2,21.2,22.9
02/072,20.4,20.4,24.6
03/072,18.9,18.9,25.0
04/072,22.5,22.5,26.1
05/072,25.3,25.3,24.2
06/072,29.1,29.1,25.4
07/072,28.7,28.7,26.5
08/072,27.4,27.4,25.8
09/072,24.4,24.4,26.7
10/072,23.2,23.2,25.4
11/072,19.9,19.9,23.1
12/072,17.9,17.9,22.7
13/072,18.6,18.6,23.4
14/072,16.9,16.9,22.9
15/072,18.5,18.5,23.2
16/072,15.6,15.6,23.8
17/072,12.7,12.7,21.3
18/072,11.6,11.6,19.3
19/072,11.1,11.1,19.6
20/072,5.8,5.8,19.4
21/072,4.4,4.4,20.7
22/072,2.8,2.8,19.9
23/072,5.1,5.1,19.7
24/072,9.0,9.0,20.4
25/072,11.6,11.6,21.7
26/072,12.5,12.5,23.0
27/072,16.5,16.5,24.7
28/072,19.4,19.4,23.2
01/073,20.8,20.8,25.2
02/073,21.3,21.3,26.2
03/073,24.1,24.1,27.9
04/073,24.5,24.5,28.1
05/073,27.3,27.3,28.4
06/073,27.8,27.8,30.8
07/073,27.6,27.6,30.2
08/073,28.6,28.6,30.6
09/073,27.0,27.0,30.0
10/073,25.5,25.5,28.7
11/073,22.4,22.4,26.6
12/073,20.8,20.8,25.6
13/073,21.3,21.3,26.6
14/073,20.5,20.5,24.6
15/073,21.5,21.5,22.6
16/073,19.1,19.1,21.5
17/073,17.2,17.2,20.3
18/073,14.9,14.9,20.8
19/073,12.7,12.7,18.4
20/073,9.7,9.7,17.7
21/073,6.7,6.7,15.9
22/073,5.1,5.1,17.5
23/073,4.9,4.9,16.2
24/073,4.6,4.6,17.6
25/073,6.5,6.5,18.1
26/073,10.6,10.6,17.4
27/073,10.7,10.7,18.9
28/073,13.3,13.3,20.4
01/074,15.4,15.4,22.2
02/074,18.1,18.1,23.2
03/074,19.7,19.7,25.5
04/074,25.1,25.1,27.9
05/074,24.0,24.0,29.8
06/074,25.0,25.0,30.5
07/074,28.1,28.1,31.2
08/074,29.1,29.1,30.3
09/074,30.0,30.0,31.8
10/074,29.2,29.2,32.4
11/074,25.2,25.2,29.8
12/074,20.9,20.9,29.4
13/074,20.0,20.0,28.7
14/074,20.3,20.3,28.8
15/074,19.4,19.4,27.3
16/074,16.7,16.7,28.3
17/074,16.8,16.8,28.7
18/074,16.3,16.3,26.0
19/074,14.4,14.4,24.1
20/074,14.0,14.0,25.6
21/074,12.6,12.6,24.5
22/074,8.7,8.7,26.3
23/074,8.1,8.1,24.8
24/074,12.5,12.5,23.8
25/074,12.8,12.8,22.9
26/074,13.9,13.9,23.6
27/074,15.0,15.0,23.0
28/074,17.6,17.6,24.5
01/075,18.2,18.2,26.2
02/075,19.2,19.2,27.0
03/075,23.0,23.0,29.5
04/075,25.1,25.1,30.1
05/075,26.6,26.6,30.5
06/075,26.7,26.7,32.4
07/075,33.4,33.4,31.7
08/075,34.5,34.5,32.2
09/075,32.2,32.2,31.2
10/075,28.7,28.7,28.1
11/075,26.3,26.3,25.4
12/075,23.0,23.0,23.8
13/075,19.3,19.3,23.6
14/075,21.4,21.4,24.3
15/075,19.3,19.3,23.7
16/075,22.2,22.2,23.1
17/075,20.8,20.8,23.2
18/075,19.3,19.3,21.9
19/075,15.9,15.9,22.9
20/075,16.5,16.5,21.7
21/075,11.8,11.8,21.4
22/075,7.4,7.4,20.8
23/075,7.9,7.9,21.5
24/075,10.0,10.0,23.3
25/075,12.9,12.9,23.5
26/075,15.5,15.5,24.8
27/075,17.0,17.0,26.5
28/075,21.7,21.7,27.4
01/076,23.5,23.5,31.7
02/076,22.6,22.6,33.1
03/076,22.8,22.8,34.0
04/076,24.0,24.0,35.2
05/076,26.5,26.5,35.8
06/076,26.6,26.6,35.9
07/076,29.0,29.0,34.8
08/076,31.2,31.2,36.7
09/076,29.3,29.3,35.4
10/076,29.5,29.5,34.0
11/076,25.1,25.1,31.3
12/076,24.1,24.1,31.7
13/076,22.8,22.8,31.6
14/076,20.9,20.9,29.3
15/076,18.0,18.0,26.8
16/076,20.1,20.1,25.3
17/076,17.0,17.0,23.7
18/076,14.4,14.4,21.7
19/076,13.7,13.7,18.5
20/076,8.1,8.1,18.6
21/076,6.7,6.7,17.2
22/076,4.6,4.6,17.4
23/076,6.1,6.1,19.4
24/076,8.9,8.9,21.1
25/076,13.1,13.1,19.6
26/076,14.0,14.0,19.4
27/076,15.9,15.9,19.6
28/076,18.6,18.6,21.1
01/077,16.8,16.8,21.6
02/077,15.1,15.1,23.1
03/077,18.2,18.2,23.4
04/077,23.2,23.2,23.7
05/077,25.4,25.4,26.0
06/077,25.5,25.5,27.7
07/077,24.8,24.8,29.7
08/077,27.7,27.7,30.1
09/077,25.0,25.0,30.6
10/077,23.5,23.5,30.4
11/077,21.9,21.9,30.1
12/077,20.6,20.6,28.3
13/077,20.3,20.3,28.7
14/077,17.2,17.2,25.2
15/077,18.0,18.0,25.6
16/077,15.7,15.7,23.8
17/077,16.3,16.3,23.2
18/077,13.6,13.6,23.6
19/077,10.2,10.2,22.3
20/077,9.1,9.1,20.9
21/077,10.3,10.3,20.7
22/077,10.7,10.7,21.3
23/077,8.4,8.4,22.5
24/077,10.3,10.3,23.0
25/077,10.0,10.0,21.4
26/077,13.8,13.8,22.9
27/077,16.6,16.6,22.8
28/077,16.3,16.3,23.7
01/078,16.4,16.4,27.4
02/078,16.0,16.0,26.3
03/078,16.2,16.2,27.3
04/078,19.2,19.2,25.6
05/078,21.4,21.4,25.0
06/078,20.5,20.5,27.9
07/078,23.4,23.4,29.4
08/078,23.3,23.3,27.5
09/078,22.6,22.6,26.8
10/078,20.5,20.5,26.9
11/078,16.0,16.0,25.6
12/078,14.3,14.3,23.3
13/078,15.5,15.5,23.0
14/078,12.3,12.3,21.0
15/078,13.7,13.7,19.3
16/078,14.1,14.1,16.2
17/078,14.2,14.2,14.6
18/078,10.5,10.5,15.0
19/078,10.4,10.4,13.4
20/078,10.9,10.9,14.5
21/078,10.0,10.0,15.7
22/078,7.6,7.6,16.5
23/078,6.0,6.0,18.0
24/078,7.2,7.2,19.3
25/078,8.9,8.9,19.2
26/078,9.9,9.9,19.2
27/078,12.8,12.8,21.2
28/078,16.0,16.0,22.1
01/079,17.0,17.0,24.0
02/079,16.8,16.8,24.9
03/079,20.7,20.7,26.1
04/079,20.4,20.4,27.0
05/079,22.7,22.7,28.9
06/079,23.0,23.0,30.5
07/079,27.4,27.4,30.9
08/079,30.7,30.7,31.1
09/079,28.2,28.2,31.8
10/079,23.9,23.9,31.3
11/079,24.3,24.3,30.4
12/079,24.2,24.2,29.8
13/079,20.0,20.0,29.0
14/079,18.0,18.0,28.7
15/079,20.9,20.9,26.3
16/079,19.3,19.3,25.9
17/079,17.5,17.5,24.5
18/079,15.1,15.1,21.4
19/079,11.3,11.3,22.5
20/079,8.4,8.4,20.1
21/079,7.5,7.5,17.8
22/079,8.3,8.3,18.8
23/079,8.4,8.4,18.4
24/079,9.5,9.5,19.0
25/079,9.4,9.4,18.3
26/079,8.6,8.6,20.0
27/079,10.3,10.3,20.3
28/079,15.6,15.6,20.1
01/080,16.7,16.7,20.3
02/080,19.1,19.1,22.7
03/080,21.8,21.8,23.1
04/080,23.7,23.7,25.0
05/080,25.4,25.4,24.9
06/080,28.3,28.3,28.0
07/080,31.3,31.3,28.8
08/080,28.2,28.2,28.2
09/080,26.1,26.1,29.5
10/080,24.0,24.0,29.1
11/080,21.7,21.7,27.8
12/080,20.2,20.2,26.4
13/080,22.4,22.4,25.9
14/080,20.5,20.5,26.2
15/080,20.5,20.5,24.9
16/080,15.3,15.3,24.1
17/080,14.7,14.7,24.2
18/080,12.9,12.9,23.6
19/080,13.0,13.0,22.1
20/080,13.5,13.5,23.9
21/080,10.1,10.1,23.0
22/080,8.8,8.8,22.5
23/080,9.8,9.8,22.0
24/080,10.8,10.8,22.8
25/080,11.7,11.7,23.9
26/080,13.3,13.3,24.9
27/080,13.1,13.1,28.0
28/080,15.4,15.4,27.0
01/081,19.3,19.3,29.3
02/081,18.4,18.4,30.1
03/081,22.9,22.9,30.0
04/081,21.8,21.8,30.2
05/081,21.5,21.5,31.5
06/081,25.4,25.4,32.2
07/081,25.9,25.9,33.2
08/081,27.0,27.0,33.0
09/081,28.3,28.3,34.2
10/081,27.1,27.1,31.2
11/081,24.9,24.9,28.1
12/081,24.5,24.5,28.5
13/081,21.5,21.5,24.8
14/081,18.4,18.4,23.4
15/081,20.3,20.3,23.3
16/081,16.0,16.0,22.9
17/081,16.5,16.5,21.1
18/081,14.2,14.2,20.7
19/081,10.8,10.8,17.8
20/081,7.6,7.6,16.3
21/081,7.6,7.6,16.9
22/081,3.9,3.9,18.7
23/081,6.0,6.0,18.2
24/081,5.9,5.9,20.0
25/081,10.0,10.0,19.6
26/081,12.0,12.0,21.4
27/081,15.0,15.0,22.1
28/081,15.7,15.7,25.1
01/082,19.9,19.9,26.5
02/082,19.7,19.7,27.0
03/082,22.1,22.1,29.0
04/082,24.1,24.1,30.3
05/082,26.3,26.3,31.1
06/082,29.6,29.6,30.9
07/082,28.8,28.8,31.3
08/082,30.9,30.9,30.4
09/082,30.4,30.4,30.8
10/082,27.3,27.3,31.5
11/082,25.4,25.4,31.7
12/082,20.6,20.6,30.7
13/082,19.0,19.0,29.2
14/082,17.9,17.9,26.2
15/082,16.1,16.1,27.9
16/082,15.8,15.8,26.3
17/082,12.5,12.5,24.9
18/082,13.0,13.0,24.6
19/082,9.8,9.8,23.2
20/082,7.1,7.1,21.0
21/082,3.8,3.8,18.8
22/082,4.4,4.4,19.3
23/082,4.7,4.7,18.2
24/082,6.5,6.5,18.1
25/082,9.4,9.4,18.5
26/082,13.3,13.3,17.9
27/082,14.8,14.8,18.8
28/082,19.8,19.8,19.4
01/083,20.2,20.2,22.0
02/083,19.3,19.3,22.5
03/083,21.8,21.8,21.5
04/083,22.5,22.5,22.7
05/083,25.4,25.4,23.2
06/083,24.8,24.8,25.1
07/083,25.3,25.3,24.6
08/083,24.4,24.4,25.0
09/083,22.4,22.4,25.7
10/083,22.5,22.5,25.7
11/083,21.6,21.6,25.2
12/083,22.6,22.6,23.5
13/083,20.0,20.0,22.8
14/083,17.3,17.3,23.4
15/083,15.3,15.3,22.3
16/083,18.4,18.4,22.2
17/083,14.2,14.2,22.5
18/083,11.9,11.9,22.4
19/083,7.7,7.7,20.8
20/083,6.2,6.2,19.7
21/083,5.8,5.8,20.4
22/083,6.4,6.4,21.3
23/083,6.5,6.5,21.8
24/083,9.4,9.4,23.7
25/083,10.1,10.1,24.2
26/083,10.0,10.0,24.5
27/083,13.7,13.7,23.6
28/083,16.2,16.2,26.5
01/084,14.4,14.4,29.0
02/084,17.4,17.4,30.5
03/084,20.4,20.4,30.5
04/084,22.4,22.4,31.2
05/084,23.9,23.9,30.3
06/084,26.0,26.0,31.0
07/084,27.3,27.3,30.1
08/084,29.5,29.5,30.6
09/084,28.2,28.2,30.3
10/084,28.5,28.5,29.2
11/084,24.2,24.2,29.9
12/084,20.2,20.2,28.6
13/084,19.6,19.6,28.5
14/084,18.8,18.8,27.0
15/084,17.7,17.7,25.0
16/084,17.8,17.8,22.0
17/084,19.0,19.0,20.5
18/084,19.8,19.8,20.6
19/084,15.1,15.1,19.0
20/084,11.5,11.5,18.5
21/084,11.0,11.0,18.0
22/084,8.6,8.6,18.2
23/084,10.1,10.1,17.8
24/084,12.7,12.7,19.1
25/084,11.7,11.7,19.2
26/084,13.7,13.7,19.5
27/084,13.5,13.5,19.4
28/084,15.9,15.9,21.0
01/085,18.7,18.7,22.8
02/085,20.5,20.5,24.6
03/085,24.9,24.9,27.0
04/085,26.0,26.0,29.2
05/085,28.5,28.5,30.7
06/085,31.1,31.1,31.1
07/085,30.0,30.0,32.7
08/085,28.1,28.1,33.6
09/085,28.0,28.0,32.7
10/085,28.9,28.9,34.6
11/085,25.6,25.6,33.2
12/085,22.6,22.6,32.2
13/085,20.3,20.3,30.9
14/085,18.4,18.4,31.1
15/085,17.7,17.7,29.8
16/085,16.9,16.9,29.8
17/085,15.4,15.4,28.7
18/085,14.9,14.9,26.8
19/085,13.3,13.3,26.8
20/085,10.4,10.4,25.2
21/085,9.2,9.2,24.3
22/085,8.5,8.5,24.9
23/085,9.5,9.5,23.5
24/085,12.5,12.5,22.5
25/085,11.6,11.6,23.1
26/085,15.1,15.1,23.8
27/085,16.5,16.5,23.7
28/085,18.7,18.7,25.2
01/086,19.9,19.9,25.7
02/086,19.3,19.3,25.0
03/086,20.6,20.6,27.2
04/086,23.6,23.6,29.0
05/086,27.6,27.6,28.9
06/086,28.4,28.4,30.0
07/086,29.4,29.4,30.2
08/086,30.6,30.6,28.8
09/086,32.1,32.1,26.8
10/086,28.6,28.6,26.1
11/086,27.0,27.0,25.9
12/086,26.4,26.4,24.9
13/086,24.8,24.8,23.9
14/086,22.9,22.9,23.5
15/086,21.0,21.0,23.0
16/086,17.0,17.0,24.8
17/086,15.0,15.0,24.2
18/086,14.5,14.5,19.9
19/086,14.5,14.5,17.6
20/086,12.1,12.1,17.6
21/086,7.2,7.2,17.8
22/086,7.3,7.3,18.2
23/086,7.8,7.8,19.0
24/086,9.0,9.0,21.7
25/086,8.0,8.0,20.5
26/086,7.9,7.9,21.0
27/086,12.8,12.8,22.5
28/086,15.4,15.4,24.2
01/087,17.7,17.7,26.9
02/087,19.3,19.3,28.6
03/087,20.6,20.6,29.0
04/087,23.0,23.0,30.2
05/087,24.9,24.9,31.8
06/087,22.2,22.2,32.8
07/087,25.7,25.7,32.1
08/087,27.7,27.7,32.7
09/087,28.6,28.6,31.7
10/087,23.0,23.0,31.0
11/087,21.2,21.2,31.3
12/087,21.6,21.6,29.2
13/087,17.4,17.4,27.2
14/087,18.1,18.1,26.7
15/087,18.1,18.1,24.1
16/087,16.8,16.8,22.1
17/087,16.6,16.6,21.3
18/087,13.6,13.6,22.5
19/087,13.5,13.5,21.2
20/087,14.1,14.1,19.8
21/087,12.4,12.4,18.1
22/087,8.1,8.1,16.2
23/087,5.3,5.3,16.4
24/087,8.5,8.5,15.0
25/087,8.8,8.8,16.0
26/087,13.5,13.5,17.4
27/087,13.1,13.1,18.8
28/087,14.5,14.5,19.7
01/088,15.7,15.7,20.8
02/088,18.8,18.8,23.2
03/088,20.0,20.0,25.0
04/088,21.8,21.8,24.6
05/088,22.0,22.0,24.0
06/088,23.5,23.5,24.7
07/088,25.3,25.3,27.5
08/088,27.2,27.2,26.3
09/088,25.5,25.5,27.8
10/088,21.9,21.9,28.4
11/088,20.4,20.4,29.5
12/088,20.6,20.6,27.7
13/088,17.6,17.6,27.1
14/088,17.0,17.0,26.2
15/088,15.7,15.7,25.2
16/088,14.2,14.2,24.9
17/088,12.3,12.3,24.3
18/088,12.3,12.3,24.3
19/088,12.1,12.1,21.5
20/088,11.2,11.2,21.7
21/088,10.2,10.2,20.5
22/088,5.4,5.4,20.6
23/088,4.1,4.1,22.2
24/088,4.2,4.2,22.5
25/088,9.0,9.0,23.6
26/088,11.4,11.4,26.0
27/088,14.4,14.4,26.4
28/088,15.4,15.4,26.5
01/089,16.8,16.8,27.7
02/089,17.9,17.9,29.6
03/089,20.3,20.3,28.6
04/089,24.2,24.2,29.5
05/089,24.7,24.7,30.5
06/089,26.7,26.7,30.7
07/089,26.1,26.1,29.7
08/089,27.5,27.5,28.3
09/089,28.0,28.0,28.7
10/089,27.7,27.7,28.0
11/089,23.8,23.8,25.5
12/089,21.8,21.8,25.1
13/089,18.8,18.8,24.9
14/089,19.5,19.5,22.4
15/089,18.9,18.9,23.0
16/089,16.3,16.3,22.6
17/089,15.4,15.4,20.2
18/089,12.5,12.5,20.6
19/089,10.0,10.0,19.4
20/089,12.4,12.4,18.5
21/089,11.7,11.7,17.6
22/089,8.8,8.8,17.6
23/089,10.5,10.5,19.8
24/089,13.1,13.1,20.1
25/089,11.9,11.9,20.5
26/089,14.4,14.4,20.7
27/089,15.2,15.2,23.0
28/089,20.5,20.5,23.4
01/090,20.5,20.5,23.6
02/090,20.3,20.3,26.2
03/090,24.3,24.3,29.8
04/090,24.2,24.2,32.6
05/090,24.9,24.9,34.3
06/090,26.6,26.6,34.4
07/090,31.2,31.2,33.9
08/090,28.0,28.0,35.0
09/090,29.2,29.2,34.1
10/090,29.2,29.2,34.3
11/090,27.7,27.7,31.5
12/090,23.0,23.0,30.4
13/090,20.0,20.0,29.6
14/090,18.1,18.1,26.8
15/090,19.5,19.5,26.0
16/090,19.4,19.4,23.9
17/090,18.5,18.5,22.5
18/090,19.5,19.5,22.1
19/090,13.3,13.3,21.9
20/090,13.2,13.2,20.5
21/090,8.5,8.5,20.3
22/090,9.9,9.9,19.5
23/090,11.2,11.2,19.4
24/090,12.6,12.6,20.2
25/090,14.1,14.1,20.6
26/090,16.5,16.5,21.6
27/090,16.2,16.2,20.6
28/090,16.3,16.3,22.5
01/091,17.8,17.8,22.8
02/091,20.3,20.3,24.4
03/091,23.9,23.9,25.9
04/091,23.4,23.4,26.6
05/091,22.7,22.7,26.6
06/091,25.8,25.8,28.5
07/091,25.5,25.5,29.6
08/091,30.0,30.0,29.6
09/091,31.7,31.7,28.4
10/091,28.1,28.1,28.1
11/091,24.3,24.3,29.9
12/091,22.4,22.4,28.4
13/091,20.6,20.6,26.8
14/091,20.5,20.5,25.3
15/091,13.7,13.7,24.8
16/091,14.6,14.6,25.1
17/091,13.4,13.4,24.0
18/091,13.5,13.5,23.7
19/091,12.3,12.3,23.1
20/091,12.0,12.0,23.9
21/091,10.9,10.9,22.0
22/091,8.7,8.7,24.3
23/091,9.9,9.9,24.6
24/091,8.3,8.3,22.7
25/091,10.1,10.1,24.1
26/091,10.3,10.3,23.0
27/091,12.8,12.8,24.7
28/091,15.4,15.4,26.3
01/092,16.8,16.8,28.4
02/092,20.1,20.1,26.8
03/092,21.7,21.7,27.8
04/092,24.7,24.7,29.5
05/092,25.0,25.0,29.4
06/092,25.0,25.0,30.7
07/092,25.1,25.1,30.8
08/092,28.7,28.7,28.2
09/092,27.7,27.7,27.9
10/092,24.9,24.9,27.8
11/092,22.9,22.9,28.2
12/092,19.8,19.8,26.6
13/092,20.2,20.2,21.9
14/092,17.6,17.6,21.3
15/092,15.5,15.5,20.3
16/092,14.0,14.0,20.5
17/092,10.4,10.4,19.8
18/092,9.4,9.4,20.0
19/092,7.5,7.5,18.1
20/092,5.3,5.3,17.3
21/092,4.9,4.9,14.4
22/092,5.3,5.3,14.7
23/092,5.8,5.8,14.8
24/092,5.9,5.9,15.1
25/092,8.1,8.1,17.9
26/092,12.6,12.6,19.1
27/092,14.7,14.7,20.7
28/092,17.0,17.0,21.3
01/093,13.7,13.7,23.7
02/093,16.8,16.8,25.8
03/093,19.1,19.1,27.6
04/093,23.8,23.8,30.1
05/093,25.9,25.9,32.3
06/093,25.7,25.7,32.2
07/093,25.8,25.8,33.7
08/093,27.7,27.7,33.7
09/093,26.7,26.7,32.5
10/093,24.1,24.1,32.4
11/093,23.2,23.2,31.3
12/093,21.8,21.8,30.4
13/093,22.2,22.2,28.5
14/093,22.0,22.0,30.8
15/093,19.8,19.8,28.4
16/093,18.8,18.8,27.2
17/093,19.2,19.2,25.4
18/093,15.6,15.6,25.9
19/093,13.2,13.2,23.7
20/093,12.4,12.4,21.0
21/093,11.8,11.8,20.5
22/093,11.0,11.0,18.3
23/093,9.1,9.1,19.1
24/093,8.5,8.5,20.5
25/093,9.9,9.9,20.7
26/093,10.8,10.8,20.0
27/093,10.1,10.1,21.0
28/093,14.4,14.4,20.2
01/094,12.6,12.6,23.4
02/094,15.4,15.4,22.7
03/094,17.5,17.5,23.7
04/094,20.6,20.6,25.9
05/094,22.2,22.2,27.5
06/094,25.0,25.0,29.3
07/094,23.3,23.3,29.0
08/094,26.3,26.3,27.6
09/094,27.6,27.6,27.0
10/094,23.5,23.5,29.4
11/094,21.3,21.3,28.9
12/094,22.6,22.6,27.0
13/094,20.5,20.5,26.8
14/094,16.5,16.5,24.3
15/094,16.4,16.4,25.4
16/094,14.9,14.9,25.5
17/094,16.0,16.0,24.5
18/094,17.1,17.1,23.3
19/094,11.7,11.7,21.4
20/094,11.3,11.3,21.6
21/094,10.4,10.4,22.4
22/094,8.6,8.6,23.4
23/094,11.4,11.4,23.7
24/094,12.1,12.1,24.1
25/094,14.3,14.3,25.0
26/094,18.4,18.4,25.0
27/094,17.1,17.1,27.4
28/094,19.8,19.8,28.9
01/095,19.4,19.4,30.4
02/095,22.2,22.2,31.4
03/095,26.3,26.3,32.5
04/095,26.0,26.0,33.5
05/095,27.0,27.0,33.7
06/095,27.0,27.0,34.0
07/095,30.4,30.4,34.0
08/095,31.3,31.3,33.0
09/095,31.5,31.5,31.8
10/095,28.5,28.5,30.9
11/095,24.3,24.3,30.7
12/095,20.9,20.9,28.8
13/095,20.6,20.6,30.1
14/095,23.3,23.3,28.3
15/095,22.1,22.1,26.3
16/095,20.2,20.2,23.2
17/095,17.4,17.4,21.2
18/095,15.9,15.9,21.5
19/095,14.6,14.6,20.8
20/095,11.2,11.2,19.2
21/095,11.8,11.8,18.4
22/095,11.9,11.9,18.2
23/095,11.7,11.7,18.5
24/095,12.2,12.2,17.9
25/095,16.3,16.3,18.8
26/095,17.8,17.8,21.7
27/095,16.9,16.9,23.3
28/095,19.1,19.1,23.2
01/096,20.9,20.9,25.8
02/096,21.0,21.0,25.5
03/096,24.3,24.3,27.6
04/096,23.9,23.9,29.8
05/096,28.5,28.5,31.6
06/096,31.6,31.6,32.4
07/096,34.4,34.4,33.3
08/096,36.7,36.7,33.7
09/096,34.1,34.1,33.3
